N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,63.907382,10.420198,49.801962
2048.000000,63.070491,11.852091,71.219202
4096.000000,69.904378,12.041984,72.444743
8192.000000,65.539375,11.770939,65.743198
16384.000000,66.263208,10.475372,24.437621
