N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,5.389689,4.988817,17.432680
2048.000000,6.565023,6.660078,21.451678
4096.000000,6.486282,7.269149,16.076031
8192.000000,6.472938,6.701735,8.556082
16384.000000,6.452317,6.499618,4.056101
